seqnames	start	end	width	strand	Protein.product	Protein.name	GenBank.Accn	RefSeq.Accn	CLR	alpha	CLR_window_size	highest_CLR	species
Supercontig_2.1	1482029	1482581	553	-	EEH11014.1	bax inhibitor family protein	GG663363.1	na	3.603806	0.2544958	3776	2.3950182	histoplasmaG186ar
Supercontig_2.1	1533556	1534902	1347	+	EEH11032.1	WD domain-containing protein	GG663363.1	na	2.558415	0.247	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	1595609	1597070	1462	-	EEH11050.1	translation release factor eRF1	GG663363.1	na	2.880813	0.01320492	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	1597555	1598896	1342	+	EEH11051.1	aldo-keto reductase	GG663363.1	na	2.880813	0.01320492	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	1872582	1874452	1871	+	EEH11148.1	NTF2 and RRM domain-containing protein	GG663363.1	na	2.995558	0.198246	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	2256549	2258366	1818	+	EEH11273.1	transcription factor tfiiia	GG663363.1	na	3.249079	0.2611122	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	2460166	2463943	3778	+	EEH11338.1	urease	GG663363.1	na	2.558407	2.964	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	2520591	2523368	2778	-	EEH11354.1	PSP1 domain-containing protein	GG663363.1	na	2.558407	0.9880002	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	2825624	2826495	872	+	EEH11459.1	hypothetical protein HCBG_00914	GG663363.1	na	6.732312	0.1409026	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	3000215	3000218	4	+	EEH11515.1	CobW/P47K family protein	GG663363.1	na	3.546552	0.0301575	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	3302259	3302345	87	+	EEH11621.1	hypothetical protein HCBG_01076	GG663363.1	na	47.43778	0.001130899	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	3343496	3343886	391	-	EEH11635.1	monothiol glutaredoxin-5	GG663363.1	na	4.364739	0.169417	3776	2.3950182	histoplasmaG186ar
Supercontig_2.1	3521387	3522045	659	-	EEH11693.1	phosphoglycerate mutase	GG663363.1	na	5.901184	0.003116022	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	3585466	3585588	123	-	EEH11712.1	malate dehydrogenase	GG663363.1	na	48.30527	0.001551306	3776	2.3950182	histoplasmaG186ar
Supercontig_2.2	5586	6313	728	+	EEH09569.1	adenine phosphoribosyltransferase	GG663364.1	na	24.43087	0.001956611	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	32675	33137	463	+	EEH09580.1	hypothetical protein HCBG_01225	GG663364.1	na	1.901151	0.5265875	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	66610	67817	1208	-	EEH09591.1	sphingosine hydroxylase	GG663364.1	na	2.210338	0.2611935	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	211318	212150	833	+	EEH09641.1	SWR1-complex protein	GG663364.1	na	1.868705	0.2403161	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	265468	266385	918	-	EEH09657.1	octanoyltransferase	GG663364.1	na	1.91603	96.83573	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	389960	390814	855	-	EEH09701.1	CDP-diacylglycerol-inositol 3-phosphatidyltransferase PIS	GG663364.1	na	1.302032	0.7321077	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	484448	485236	789	-	EEH09733.1	flavoprotein oxygenase	GG663364.1	na	1.302142	73.21079	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	525646	527603	1958	+	EEH09746.1	DUF455 domain-containing protein	GG663364.1	na	1.631612	128.0844	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	572716	574460	1745	+	EEH09764.1	glycoside hydrolase	GG663364.1	na	4.547194	0.06960591	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	577785	579439	1655	-	EEH09766.1	UBX domain-containing protein	GG663364.1	na	5.803431	0.2227389	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	580295	580317	23	+	EEH09767.1	PAB-dependent poly(A)-specific ribonuclease subunit pan3	GG663364.1	na	5.803431	0.2227389	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	741387	741738	352	-	EEH09818.1	split zinc finger protein	GG663364.1	na	1.448446	0.02964222	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	743840	744315	476	+	EEH09819.1	tRNA-dihydrouridine synthase 3-like protein	GG663364.1	na	1.448446	0.02964222	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	747244	747733	490	+	EEH09820.1	receptor-associated protein	GG663364.1	na	2.212414	0.2985068	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	748323	749615	1293	-	EEH09821.1	mitochondrial inheritance component mdm12	GG663364.1	na	2.212414	0.2985068	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	808437	808745	309	+	EEH09841.1	translocation protein sec63	GG663364.1	na	4.467519	0.07165045	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	876101	876745	645	+	EEH09862.1	SDA1 domain-containing protein	GG663364.1	na	2.971009	0.2763841	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	1300743	1302214	1472	-	EEH10010.1	polyketide synthase	GG663364.1	na	10.59379	0.0009077977	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	1315216	1315386	171	-	EEH10018.1	hypothetical protein HCBG_01663	GG663364.1	na	1.61469	0.07299554	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	1482314	1482899	586	-	EEH10077.1	serine/threonine phosphatase PP-X isozyme 2	GG663364.1	na	1.834758	0.3010299	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	1603984	1605314	1331	-	EEH10112.1	serine/threonine-protein kinase RIO2	GG663364.1	na	5.478741	0.1434182	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	1622137	1622884	748	-	EEH10118.1	pps1 dual specificty phosphatase	GG663364.1	na	2.949843	0.7851276	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	1699935	1700790	856	+	EEH10147.1	hypothetical protein HCBG_01792	GG663364.1	na	2.956161	0.92128	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	1774749	1775169	421	-	EEH10175.1	PQ loop repeat protein	GG663364.1	na	1.592945	0.01651466	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	1816170	1819099	2930	-	EEH10188.1	pre-mRNA-splicing factor brr2	GG663364.1	na	1.825835	0.3981162	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	1912812	1915562	2751	-	EEH10219.1	TATA-binding protein associated factor Taf2	GG663364.1	na	1.592809	0.05557394	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	1997463	1997740	278	+	EEH10249.1	DUF850 domain-containing protein	GG663364.1	na	2.980193	0.07462673	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	2447655	2448272	618	+	EEH10381.1	serine/threonine-protein kinase hal4	GG663364.1	na	2.679476	1.948441	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	2512501	2513168	668	+	EEH10399.1	squalene epoxidase	GG663364.1	na	2.137958	103.8487	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	2588786	2589311	526	+	EEH10423.1	AP-2 complex subunit mu-1	GG663364.1	na	7.722949	0.1316469	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	2614741	2615668	928	-	EEH10431.1	serine/threonine-protein kinase Chk2	GG663364.1	na	1.58709	0.7647859	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	2678458	2680095	1638	-	EEH10449.1	origin recognition complex subunit	GG663364.1	na	1.859798	1.194349	2928	1.2582528	histoplasmaG186ar
Supercontig_2.2	2718368	2720644	2277	+	EEH10465.1	GPI mannosyltransferase	GG663364.1	na	2.097249	0.1661693	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	2879238	2880864	1627	-	EEH10529.1	aspartokinase	GG663364.1	na	1.708897	0.0678129	2929	1.2582528	histoplasmaG186ar
Supercontig_2.2	2884561	2885094	534	+	EEH10531.1	DUF1671 domain-containing protein	GG663364.1	na	4.611731	0.01228771	2928	1.2582528	histoplasmaG186ar
Supercontig_2.3	81053	82161	1109	-	EEH08667.1	5-oxoprolinase	GG663365.1	na	17.08963	0.01251189	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	133337	134322	986	-	EEH08685.1	protein transporter SEC13	GG663365.1	na	2.048779	0.292032	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	153946	154252	307	-	EEH08692.1	clathrin-coated vesicle protein	GG663365.1	na	2.979736	0.1217776	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	155104	156749	1646	+	EEH08693.1	branched-chain amino acid aminotransferase	GG663365.1	na	2.979736	0.1217776	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	333835	334517	683	-	EEH08750.1	hypothetical protein HCBG_02287	GG663365.1	na	2.140322	0.0846857	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	335195	336014	820	-	EEH08751.1	phosphoribulokinase/uridine kinase	GG663365.1	na	2.140322	0.0846857	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	483119	484769	1651	-	EEH08801.1	nuclear envelope protein	GG663365.1	na	2.818617	0.2303201	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	557430	557662	233	-	EEH08827.1	hypothetical protein HCBG_02364	GG663365.1	na	3.1694	0.1951007	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	595813	596739	927	-	EEH08842.1	rho GTPase Rho1	GG663365.1	na	2.069873	0.2420893	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	784751	784815	65	+	EEH08903.1	mitochondrial ribosomal protein subunit S2	GG663365.1	na	2.834403	0.3948344	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	1115573	1118376	2804	-	EEH08992.1	RNA binding domain-containing protein	GG663365.1	na	2.268645	0.174129	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	1404342	1404409	68	-	EEH09092.1	metal homeostatis protein bsd2	GG663365.1	na	2.54837	0.2617091	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	1405945	1407146	1202	-	EEH09094.1	succinyl-CoA:3-ketoacid-coenzyme A transferase	GG663365.1	na	2.54837	0.2617091	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	1553139	1554206	1068	-	EEH09138.1	C-3 sterol dehydrogenase/C-4 decarboxylase	GG663365.1	na	2.42464	0.2102356	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	1580657	1580968	312	+	EEH09149.1	DNA repair and recombination protein RAD54	GG663365.1	na	2.666091	0.4295331	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	1617475	1618878	1404	+	EEH09161.1	mitogen-activated protein kinase	GG663365.1	na	2.26863	0.232172	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	1681896	1683017	1122	+	EEH09186.1	EH domain binding protein epsin 2	GG663365.1	na	2.24816	0.07205338	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	1760708	1762452	1745	+	EEH09211.1	adenosine deaminase	GG663365.1	na	2.268645	2.089548	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	1822075	1822682	608	+	EEH09230.1	RING-13 finger domain-containing protein	GG663365.1	na	2.626479	296.4	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	1850995	1852017	1023	+	EEH09240.1	uracil DNA glycosylase superfamily protein	GG663365.1	na	5.565876	0.183027	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	1880503	1880951	449	+	EEH09247.1	transmembrane 9 superfamily member 4	GG663365.1	na	3.546045	0.01003294	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	1899020	1900576	1557	+	EEH09254.1	RNA helicase family protein	GG663365.1	na	12.53464	0.04374656	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	1994947	1995896	950	+	EEH09282.1	glucosidase I	GG663365.1	na	2.058534	0.007249009	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	2125177	2126340	1164	-	EEH09329.1	3\'-5\' exonuclease	GG663365.1	na	4.714123	0.1481601	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	2486523	2487945	1423	-	EEH09459.1	translin	GG663365.1	na	2.227681	0.1625788	2804	1.9572062	histoplasmaG186ar
Supercontig_2.3	2517362	2517480	119	+	EEH09470.1	UV-damage endonuclease	GG663365.1	na	2.910338	0.3535502	2803	1.9572062	histoplasmaG186ar
Supercontig_2.3	2519261	2520165	905	+	EEH09471.1	actin patch protein	GG663365.1	na	2.910338	0.3535502	2803	1.9572062	histoplasmaG186ar
Supercontig_2.4	110612	111243	632	-	EEH07844.1	anucleate primary sterigmata protein B	GG663366.1	na	2.627712	296.4	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	167986	168948	963	+	EEH07864.1	exosome complex exonuclease RRP4	GG663366.1	na	2.053366	1.194349	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	189679	191300	1622	-	EEH07871.1	IFRD domain-containing protein	GG663366.1	na	1.746934	0.4235423	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	223924	224730	807	+	EEH07882.1	glycine cleavage system H protein	GG663366.1	na	57.59943	0.001775498	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	249049	249152	104	-	EEH07893.1	guanosine-diphosphatase	GG663366.1	na	4.013835	0.4397976	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	251193	251751	559	+	EEH07895.1	elongation factor Tu	GG663366.1	na	4.013835	0.4397976	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	279478	280305	828	+	EEH07908.1	mitochondrial hypoxia responsive domain-containing protein	GG663366.1	na	6.122329	0.174129	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	365238	365589	352	-	EEH07937.1	puf family RNA-binding protein	GG663366.1	na	1.193554	0.3159525	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	367004	367940	937	-	EEH07938.1	hypothetical protein HCBG_03227	GG663366.1	na	1.193554	0.3159525	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	408471	410781	2311	+	EEH07955.1	pre-mRNA-processing protein prp40	GG663366.1	na	2.27345	0.5265874	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	443585	443598	14	+	EEH07968.1	beta-lactamase	GG663366.1	na	2.404535	0.08963497	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	490687	491177	491	+	EEH07983.1	4-coumarate:coenzyme A ligase	GG663366.1	na	8.084019	0.01698521	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	497670	499762	2093	-	EEH07986.1	zinc-responsiveness transcriptional activator	GG663366.1	na	2.28116	0.4910272	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	586808	589510	2703	-	EEH08017.1	histone transcription regulator slm9	GG663366.1	na	2.275859	0.6965163	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	623350	623959	610	-	EEH08026.1	hypothetical protein HCBG_03315	GG663366.1	na	1.213059	0.08566879	2703	1.1496284	histoplasmaG186ar
Supercontig_2.4	645354	646253	900	+	EEH08037.1	GLCD gamma	GG663366.1	na	1.985223	0.1118304	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	662832	665168	2337	-	EEH08043.1	binuclear zinc transcription factor	GG663366.1	na	1.230842	1.104454	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	674388	675976	1589	+	EEH08047.1	G2/mitotic-specific cyclin-B	GG663366.1	na	2.657823	0.2420242	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	697736	699553	1818	-	EEH08054.1	chromatin regulatory protein sir2	GG663366.1	na	2.311048	1.194349	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	741509	743528	2020	+	EEH08073.1	NMDA receptor-regulated gene 1 protein	GG663366.1	na	1.274013	2.089548	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	854343	856945	2603	-	EEH08107.1	intermembrane space AAA protease IAP-1	GG663366.1	na	3.150237	0.6442996	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	862419	864332	1914	-	EEH08110.1	3-ketosteroid reductase	GG663366.1	na	6.8766	0.6006287	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	879446	880674	1229	+	EEH08115.1	sucrase/ferredoxin domain-containing protein	GG663366.1	na	2.627712	1.482	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	881149	881333	185	+	EEH08116.1	D-isomer specific 2-hydroxyacid dehydrogenase	GG663366.1	na	2.627712	1.482	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	894844	895940	1097	+	EEH08122.1	F-box and WD domain-containing protein	GG663366.1	na	1.370625	0.3925638	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1013735	1014711	977	-	EEH08158.1	3-ketoacyl-coA thiolase peroxisomal A	GG663366.1	na	1.767283	0.07495593	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1112673	1113712	1040	-	EEH08175.1	HMG-box transcription factor	GG663366.1	na	1.702209	0.06279766	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1138030	1140732	2703	-	EEH08179.1	fatty acid oxygenase	GG663366.1	na	2.280147	0.4910271	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1162349	1162927	579	-	EEH08188.1	histone acetylase complex subunit	GG663366.1	na	1.512914	1.050886	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1173157	1174277	1121	-	EEH08190.1	GTPase activating protein GYP5	GG663366.1	na	1.999498	0.08840947	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1175563	1175859	297	-	EEH08191.1	RAB-protein geranylgeranyltransferase	GG663366.1	na	1.999498	0.08840947	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1202880	1203077	198	-	EEH08198.1	HMG box protein	GG663366.1	na	2.281064	0.3682702	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1541880	1543341	1462	-	EEH08267.1	GabA permease	GG663366.1	na	10.21892	0.008763122	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1726356	1727082	727	+	EEH08324.1	histone-lysine n-methyltransferase	GG663366.1	na	2.52629	0.1672976	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1735188	1735897	710	+	EEH08327.1	mago nashi domain-containing protein	GG663366.1	na	2.335883	208.9548	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1789230	1790347	1118	-	EEH08344.1	hypothetical protein HCBG_03633	GG663366.1	na	1.472719	0.2967902	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1791224	1791932	709	+	EEH08345.1	endopolyphosphatase	GG663366.1	na	1.472719	0.2967902	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1875696	1875952	257	+	EEH08375.1	basic proline-rich protein	GG663366.1	na	2.335824	0.522387	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1876685	1877713	1029	-	EEH08376.1	hypothetical protein HCBG_03665	GG663366.1	na	2.335824	0.522387	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	1898782	1900016	1235	+	EEH08386.1	inosine-uridine preferring nucleoside hydrolase	GG663366.1	na	5.208612	0.002829509	2703	1.1496284	histoplasmaG186ar
Supercontig_2.4	1934230	1935141	912	-	EEH08402.1	oleate delta-12 desaturase	GG663366.1	na	2.334968	2.089548	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2097266	2097866	601	-	EEH08452.1	ran GTPase activating protein	GG663366.1	na	1.846698	0.1601055	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2130976	2132393	1418	-	EEH08465.1	glutaminase	GG663366.1	na	4.976607	0.2164153	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2258371	2259390	1020	-	EEH08514.1	hsp70-like protein	GG663366.1	na	1.299874	0.3408854	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2335947	2337614	1668	+	EEH08541.1	class II aldolase/adducin domain-containing protein	GG663366.1	na	8.903258	0.06127631	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2414150	2414563	414	+	EEH08566.1	hypothetical protein HCBG_03855	GG663366.1	na	1.392055	0.1529203	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2415454	2416110	657	-	EEH08567.1	NAD-dependent 15-hydroxyprostaglandin dehydrogenase	GG663366.1	na	1.392055	0.1529203	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2508800	2508990	191	-	EEH08600.1	histone H4, partial	GG663366.1	na	4.05233	0.07464678	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2509102	2509591	490	-	EEH08599.1	histone H4	GG663366.1	na	4.05233	0.07464678	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2602553	2604510	1958	+	EEH08628.1	type I ribosomal protein arginine N-methytransferase Rmt3	GG663366.1	na	1.631769	0.6868018	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2626872	2628078	1207	+	EEH08636.1	hypothetical protein HCBG_03925	GG663366.1	na	32.66473	0.00147165	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2675716	2677841	2126	-	EEH08647.1	UDP-galactopyranose mutase	GG663366.1	na	1.293841	0.01734724	2702	1.1496284	histoplasmaG186ar
Supercontig_2.4	2692217	2694424	2208	+	EEH08652.1	copper-sulfate regulated protein	GG663366.1	na	2.218897	0.08146062	2702	1.1496284	histoplasmaG186ar
Supercontig_2.5	21239	21587	349	+	EEH07065.1	QDE2 protein	GG663367.1	na	9.985976	0.002956667	2225	1.48003	histoplasmaG186ar
Supercontig_2.5	35914	37155	1242	-	EEH07070.1	phytase	GG663367.1	na	3.082561	0.06319489	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	228438	228627	190	-	EEH07131.1	gamma-glutamyltranspeptidase	GG663367.1	na	2.395362	0.5561149	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	229515	230021	507	-	EEH07132.1	mitochondrial import inner membrane translocase subunit tim-14	GG663367.1	na	2.395362	0.5561149	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	230354	230662	309	+	EEH07133.1	60S ribosomal protein L24B	GG663367.1	na	2.395362	0.5561149	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	490895	491706	812	+	EEH07232.1	RING-10 finger domain-containing protein	GG663367.1	na	2.457427	0.3704003	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	600233	602105	1873	+	EEH07275.1	methylmalonate-semialdehyde dehydrogenase	GG663367.1	na	2.582994	0.1502961	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	615451	616550	1100	-	EEH07281.1	ubiquitin C-terminal hydrolase	GG663367.1	na	1.529073	0.9029642	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	675051	675504	454	+	EEH07301.1	high affinity nicotinic acid plasma membrane permease	GG663367.1	na	4.926835	0.0655549	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	786715	787718	1004	-	EEH07338.1	C-x8-C-x5-C-x3-H zinc finger protein	GG663367.1	na	4.614121	0.05495454	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	788909	788939	31	-	EEH07339.1	hypothetical protein HCBG_04218	GG663367.1	na	4.614121	0.05495454	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	906823	909047	2225	-	EEH07378.1	meiotically up-regulated gene 71 protein	GG663367.1	na	2.114716	1.038486	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	1038051	1038892	842	-	EEH07421.1	beta-hydroxysteroid dehydrogenase	GG663367.1	na	1.825377	0.04871103	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	1039197	1039747	551	+	EEH07422.1	ergosterol biosynthetic protein	GG663367.1	na	1.825377	0.04871103	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	1040102	1040275	174	-	EEH07423.1	galactose-1-phosphate uridylyltransferase	GG663367.1	na	1.825377	0.04871103	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	1107204	1108791	1588	+	EEH07446.1	delta-9 fatty acid desaturase	GG663367.1	na	1.940877	0.2150427	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	1222661	1223613	953	+	EEH07481.1	Pi-transporter A-1	GG663367.1	na	2.891871	0.1790897	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	1227615	1229333	1719	-	EEH07483.1	ABC multidrug transporter	GG663367.1	na	2.644067	0.009384285	2224	1.48003	histoplasmaG186ar
Supercontig_2.5	1240264	1240456	193	+	EEH07485.1	hypothetical protein HCBG_04365	GG663367.1	na	1.778957	0.1373603	2225	1.48003	histoplasmaG186ar
